Type,time_taken(mins),day,is_class_next,is_crowdy,is_alone
0,34,0,0,0,1
1,20,0,0,1,0
2,18,0,0,0,1
0,20,1,1,0,0
1,39,1,1,1,0
2,36,1,0,0,0
0,40,2,0,0,0
1,30,2,1,1,0
2,32,2,0,0,0
0,42,3,0,0,1
1,45,3,0,1,0
2,40,3,0,0,0
0,15,4,1,0,0
1,25,4,0,1,1
2,26,4,0,0,1
0,63,5,0,1,0
1,36,5,0,0,1
2,38,5,0,0,0
0,65,6,0,1,0
1,23,6,0,0,1
2,56,6,0,1,0
0,38,0,0,0,1
1,20,0,0,0,1
2,22,0,0,1,1
0,18,1,1,0,0
1,23,1,1,1,0
2,26,1,0,0,0
0,25,2,0,0,0
1,23,2,1,1,0
2,26,2,0,0,0
0,26,3,0,0,0
1,39,3,0,1,0
2,28,3,0,0,0
0,18,4,1,0,0
1,35,4,0,1,1
2,26,4,0,0,0
0,55,5,0,1,0
1,38,5,0,0,1
2,32,5,0,0,0
0,52,6,0,1,0
1,25,6,0,0,1
2,65,6,0,1,0
